Round,Match ID,US Match Win,EU Match Win,Match Draw,Match Standing,Match Outcome,Predicted Outcome,Actual Outcome,Is Correct
1,1002,0.552,0.3248,0.1231,4&3,EU Win,uswin,euwin,False
1,1003,0.36060000000000003,0.5136,0.1258,5&3,EU Win,euwin,euwin,True
1,1001,0.5088,0.3679,0.1233,5&4,EU Win,uswin,euwin,False
1,1004,0.4089,0.4646,0.1265,2&0,US Win,euwin,uswin,False
2,2004,0.44789999999999996,0.4179,0.13419999999999999,3&2,EU Win,uswin,euwin,False
2,2001,0.4789,0.3884,0.13269999999999998,1&0,EU Win,uswin,euwin,False
2,2002,0.408,0.45880000000000004,0.1333,6&5,US Win,euwin,uswin,False
2,2003,0.4635,0.4045,0.1321,0&0,Draw,uswin,draw,False
3,3001,0.3978,0.4768,0.12539999999999998,4&2,US Win,euwin,uswin,False
3,3003,0.5015,0.3738,0.1247,3&2,EU Win,uswin,euwin,False
3,3004,0.5424,0.33409999999999995,0.1235,3&2,EU Win,uswin,euwin,False
3,3002,0.36060000000000003,0.5136,0.1258,1&0,EU Win,euwin,euwin,True
4,4002,0.48810000000000003,0.3796,0.1323,2&0,EU Win,uswin,euwin,False
4,4004,0.4793,0.3876,0.1331,3&2,EU Win,uswin,euwin,False
4,4001,0.4382,0.42829999999999996,0.1335,1&0,US Win,uswin,uswin,True
4,4003,0.3557,0.5131,0.13119999999999998,1&0,EU Win,euwin,euwin,True
5,5001,0.004610657495321449,0.004140972879875262,0.0012483696248032884,1&0,US Win,uswin,uswin,True
5,5002,0.004183491031431599,0.00455121413975858,0.0012652948288098208,1&0,US Win,euwin,uswin,False
5,5003,0.003930259918261355,0.004813905182319428,0.001255834899419217,0&0,Draw,euwin,draw,False
5,5004,0.005310523626734152,0.0034355221053604017,0.0012539542679054466,1&0,US Win,uswin,uswin,True
5,5005,0.004663157699947631,0.004072646142458588,0.0012641961575937805,2&1,EU Win,uswin,euwin,False
5,5006,0.0041944093774625634,0.0045560972096375585,0.001249493412899878,4&3,US Win,euwin,uswin,False
5,5007,0.003911119128850229,0.004817338699225526,0.001271542171924246,2&1,US Win,euwin,uswin,False
5,5008,0.005033066797252595,0.0036951356371157217,0.0012717975656316844,0&0,Draw,uswin,draw,False
5,5009,0.005319236709025241,0.003453322020948614,0.0012274412700261457,1&0,US Win,uswin,uswin,True
5,5010,0.005453619135157374,0.0033151587430969775,0.0012312221217456486,0&0,Draw,uswin,draw,False
5,5011,0.00442811764781754,0.004298096076440281,0.0012737862757421798,0&0,Draw,uswin,draw,False
5,5012,0.0041786977466195295,0.004547186645763335,0.0012741156076171351,0&18,Draw,euwin,draw,False
